hero1_nick;hero2_nick;hero1_name;hero2_name
SCARLET WITCH;WONDER MAN;WANDA ;SIMON WIL
VISION ;WONDER MAN;;SIMON WIL
CAPTAIN AMERICA;WONDER MAN;;SIMON WIL
CYCLOPS;WONDER MAN;SCOTT SUMMER;SIMON WIL
BEAST;WONDER MAN;HENRY &HANK& P;SIMON WIL
NOVA;WONDER MAN;RICHARD RIDER;SIMON WIL
SHE-HULK;WONDER MAN;JENNIFER WA;SIMON WIL
QUICKSILVER;SHE-HULK;PIETRO M;JENNIFER WA
BLACK KNIGHT V;SHE-HULK;DANE ;JENNIFER WA
SHE-HULK;WOLVERINE;JENNIFER WA;LOGAN 
HERCULES [GREEK GOD];SHE-HULK;;JENNIFER WA
PSYLOCKE;SHE-HULK;ELISABETH B;JENNIFER WA
COLOSSUS II;SHE-HULK;PETER RA;JENNIFER WA
SHE-HULK;STORM;JENNIFER WA;ORORO MUNROE S
HAVOK;SHE-HULK;ALEX SUMMERS ;JENNIFER WA
ANGEL;SHE-HULK;WARREN KENNETH;JENNIFER WA
MARVEL GIRL;SHE-HULK;JEAN GRE;JENNIFER WA
ROGUE ;SHE-HULK;;JENNIFER WA
ICEMAN;SHE-HULK;ROBERT BOBBY ;JENNIFER WA
SCARLET WITCH;SHE-HULK;WANDA ;JENNIFER WA
SHE-HULK;VISION ;JENNIFER WA;
CAPTAIN AMERICA;SHE-HULK;;JENNIFER WA
CYCLOPS;SHE-HULK;SCOTT SUMMER;JENNIFER WA
BEAST;SHE-HULK;HENRY &HANK& P;JENNIFER WA
NOVA;SHE-HULK;RICHARD RIDER;JENNIFER WA
NOVA;QUICKSILVER;RICHARD RIDER;PIETRO M
BLACK KNIGHT V;NOVA;DANE ;RICHARD RIDER
NOVA;WOLVERINE;RICHARD RIDER;LOGAN 
HERCULES [GREEK GOD];NOVA;;RICHARD RIDER
NOVA;PSYLOCKE;RICHARD RIDER;ELISABETH B
COLOSSUS II;NOVA;PETER RA;RICHARD RIDER
NOVA;STORM;RICHARD RIDER;ORORO MUNROE S
HAVOK;NOVA;ALEX SUMMERS ;RICHARD RIDER
ANGEL;NOVA;WARREN KENNETH;RICHARD RIDER
MARVEL GIRL;NOVA;JEAN GRE;RICHARD RIDER
NOVA;ROGUE ;RICHARD RIDER;
ICEMAN;NOVA;ROBERT BOBBY ;RICHARD RIDER
NOVA;SCARLET WITCH;RICHARD RIDER;WANDA 
NOVA;VISION ;RICHARD RIDER;
CAPTAIN AMERICA;NOVA;;RICHARD RIDER
CYCLOPS;NOVA;SCOTT SUMMER;RICHARD RIDER
BEAST;NOVA;HENRY &HANK& P;RICHARD RIDER
BEAST;QUICKSILVER;HENRY &HANK& P;PIETRO M
BEAST;BLACK KNIGHT V;HENRY &HANK& P;DANE 
BEAST;WOLVERINE;HENRY &HANK& P;LOGAN 
BEAST;HERCULES [GREEK GOD];HENRY &HANK& P;
BEAST;PSYLOCKE;HENRY &HANK& P;ELISABETH B
BEAST;COLOSSUS II;HENRY &HANK& P;PETER RA
BEAST;STORM;HENRY &HANK& P;ORORO MUNROE S
BEAST;HAVOK;HENRY &HANK& P;ALEX SUMMERS 
ANGEL;BEAST;WARREN KENNETH;HENRY &HANK& P
BEAST;MARVEL GIRL;HENRY &HANK& P;JEAN GRE
BEAST;ROGUE ;HENRY &HANK& P;
BEAST;ICEMAN;HENRY &HANK& P;ROBERT BOBBY 
BEAST;SCARLET WITCH;HENRY &HANK& P;WANDA 
BEAST;VISION ;HENRY &HANK& P;
BEAST;CAPTAIN AMERICA;HENRY &HANK& P;
BEAST;CYCLOPS;HENRY &HANK& P;SCOTT SUMMER
CYCLOPS;QUICKSILVER;SCOTT SUMMER;PIETRO M
BLACK KNIGHT V;CYCLOPS;DANE ;SCOTT SUMMER
CYCLOPS;WOLVERINE;SCOTT SUMMER;LOGAN 
CYCLOPS;HERCULES [GREEK GOD];SCOTT SUMMER;
CYCLOPS;PSYLOCKE;SCOTT SUMMER;ELISABETH B
COLOSSUS II;CYCLOPS;PETER RA;SCOTT SUMMER
CYCLOPS;STORM;SCOTT SUMMER;ORORO MUNROE S
CYCLOPS;HAVOK;SCOTT SUMMER;ALEX SUMMERS 
ANGEL;CYCLOPS;WARREN KENNETH;SCOTT SUMMER
CYCLOPS;MARVEL GIRL;SCOTT SUMMER;JEAN GRE
CYCLOPS;ROGUE ;SCOTT SUMMER;
CYCLOPS;ICEMAN;SCOTT SUMMER;ROBERT BOBBY 
CYCLOPS;SCARLET WITCH;SCOTT SUMMER;WANDA 
CYCLOPS;VISION ;SCOTT SUMMER;
CAPTAIN AMERICA;CYCLOPS;;SCOTT SUMMER
CAPTAIN AMERICA;QUICKSILVER;;PIETRO M
BLACK KNIGHT V;CAPTAIN AMERICA;DANE ;
CAPTAIN AMERICA;WOLVERINE;;LOGAN 
CAPTAIN AMERICA;HERCULES [GREEK GOD];;
CAPTAIN AMERICA;PSYLOCKE;;ELISABETH B
CAPTAIN AMERICA;COLOSSUS II;;PETER RA
CAPTAIN AMERICA;STORM;;ORORO MUNROE S
CAPTAIN AMERICA;HAVOK;;ALEX SUMMERS 
ANGEL;CAPTAIN AMERICA;WARREN KENNETH;
CAPTAIN AMERICA;MARVEL GIRL;;JEAN GRE
CAPTAIN AMERICA;ROGUE ;;
CAPTAIN AMERICA;ICEMAN;;ROBERT BOBBY 
CAPTAIN AMERICA;SCARLET WITCH;;WANDA 
CAPTAIN AMERICA;VISION ;;
QUICKSILVER;VISION ;PIETRO M;
BLACK KNIGHT V;VISION ;DANE ;
VISION ;WOLVERINE;;LOGAN 
HERCULES [GREEK GOD];VISION ;;
PSYLOCKE;VISION ;ELISABETH B;
COLOSSUS II;VISION ;PETER RA;
STORM;VISION ;ORORO MUNROE S;
HAVOK;VISION ;ALEX SUMMERS ;
ANGEL;VISION ;WARREN KENNETH;
MARVEL GIRL;VISION ;JEAN GRE;
ROGUE ;VISION ;;
ICEMAN;VISION ;ROBERT BOBBY ;
SCARLET WITCH;VISION ;WANDA ;
QUICKSILVER;SCARLET WITCH;PIETRO M;WANDA 
BLACK KNIGHT V;SCARLET WITCH;DANE ;WANDA 
SCARLET WITCH;WOLVERINE;WANDA ;LOGAN 
HERCULES [GREEK GOD];SCARLET WITCH;;WANDA 
PSYLOCKE;SCARLET WITCH;ELISABETH B;WANDA 
COLOSSUS II;SCARLET WITCH;PETER RA;WANDA 
SCARLET WITCH;STORM;WANDA ;ORORO MUNROE S
HAVOK;SCARLET WITCH;ALEX SUMMERS ;WANDA 
ANGEL;SCARLET WITCH;WARREN KENNETH;WANDA 
MARVEL GIRL;SCARLET WITCH;JEAN GRE;WANDA 
ROGUE ;SCARLET WITCH;;WANDA 
ICEMAN;SCARLET WITCH;ROBERT BOBBY ;WANDA 
ICEMAN;QUICKSILVER;ROBERT BOBBY ;PIETRO M
BLACK KNIGHT V;ICEMAN;DANE ;ROBERT BOBBY 
ICEMAN;WOLVERINE;ROBERT BOBBY ;LOGAN 
HERCULES [GREEK GOD];ICEMAN;;ROBERT BOBBY 
ICEMAN;PSYLOCKE;ROBERT BOBBY ;ELISABETH B
COLOSSUS II;ICEMAN;PETER RA;ROBERT BOBBY 
ICEMAN;STORM;ROBERT BOBBY ;ORORO MUNROE S
HAVOK;ICEMAN;ALEX SUMMERS ;ROBERT BOBBY 
ANGEL;ICEMAN;WARREN KENNETH;ROBERT BOBBY 
ICEMAN;MARVEL GIRL;ROBERT BOBBY ;JEAN GRE
ICEMAN;ROGUE ;ROBERT BOBBY ;
QUICKSILVER;ROGUE ;PIETRO M;
BLACK KNIGHT V;ROGUE ;DANE ;
ROGUE ;WOLVERINE;;LOGAN 
HERCULES [GREEK GOD];ROGUE ;;
PSYLOCKE;ROGUE ;ELISABETH B;
COLOSSUS II;ROGUE ;PETER RA;
ROGUE ;STORM;;ORORO MUNROE S
HAVOK;ROGUE ;ALEX SUMMERS ;
ANGEL;ROGUE ;WARREN KENNETH;
MARVEL GIRL;ROGUE ;JEAN GRE;
MARVEL GIRL;QUICKSILVER;JEAN GRE;PIETRO M
BLACK KNIGHT V;MARVEL GIRL;DANE ;JEAN GRE
MARVEL GIRL;WOLVERINE;JEAN GRE;LOGAN 
HERCULES [GREEK GOD];MARVEL GIRL;;JEAN GRE
MARVEL GIRL;PSYLOCKE;JEAN GRE;ELISABETH B
COLOSSUS II;MARVEL GIRL;PETER RA;JEAN GRE
MARVEL GIRL;STORM;JEAN GRE;ORORO MUNROE S
HAVOK;MARVEL GIRL;ALEX SUMMERS ;JEAN GRE
ANGEL;MARVEL GIRL;WARREN KENNETH;JEAN GRE
ANGEL;QUICKSILVER;WARREN KENNETH;PIETRO M
ANGEL;BLACK KNIGHT V;WARREN KENNETH;DANE 
ANGEL;WOLVERINE;WARREN KENNETH;LOGAN 
ANGEL;HERCULES [GREEK GOD];WARREN KENNETH;
ANGEL;PSYLOCKE;WARREN KENNETH;ELISABETH B
ANGEL;COLOSSUS II;WARREN KENNETH;PETER RA
ANGEL;STORM;WARREN KENNETH;ORORO MUNROE S
ANGEL;HAVOK;WARREN KENNETH;ALEX SUMMERS 
HAVOK;QUICKSILVER;ALEX SUMMERS ;PIETRO M
BLACK KNIGHT V;HAVOK;DANE ;ALEX SUMMERS 
HAVOK;WOLVERINE;ALEX SUMMERS ;LOGAN 
HAVOK;HERCULES [GREEK GOD];ALEX SUMMERS ;
HAVOK;PSYLOCKE;ALEX SUMMERS ;ELISABETH B
COLOSSUS II;HAVOK;PETER RA;ALEX SUMMERS 
HAVOK;STORM;ALEX SUMMERS ;ORORO MUNROE S
QUICKSILVER;STORM;PIETRO M;ORORO MUNROE S
BLACK KNIGHT V;STORM;DANE ;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
HERCULES [GREEK GOD];STORM;;ORORO MUNROE S
PSYLOCKE;STORM;ELISABETH B;ORORO MUNROE S
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;QUICKSILVER;PETER RA;PIETRO M
BLACK KNIGHT V;COLOSSUS II;DANE ;PETER RA
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;HERCULES [GREEK GOD];PETER RA;
COLOSSUS II;PSYLOCKE;PETER RA;ELISABETH B
PSYLOCKE;QUICKSILVER;ELISABETH B;PIETRO M
BLACK KNIGHT V;PSYLOCKE;DANE ;ELISABETH B
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
HERCULES [GREEK GOD];PSYLOCKE;;ELISABETH B
HERCULES [GREEK GOD];QUICKSILVER;;PIETRO M
BLACK KNIGHT V;HERCULES [GREEK GOD];DANE ;
HERCULES [GREEK GOD];WOLVERINE;;LOGAN 
QUICKSILVER;WOLVERINE;PIETRO M;LOGAN 
BLACK KNIGHT V;WOLVERINE;DANE ;LOGAN 
BLACK KNIGHT V;QUICKSILVER;DANE ;PIETRO M
FIRESTAR;NOVA;ANGELICA JO;RICHARD RIDER
MARVEL GIRL;WASP;JEAN GRE;JANET VAN DYNE 
SPIDER-MAN;WASP;PETER PAR;JANET VAN DYNE 
CYCLOPS;WASP;SCOTT SUMMER;JANET VAN DYNE 
ANT-MAN;WASP;DR. HENRY J.;JANET VAN DYNE 
BEAST;WASP;HENRY &HANK& P;JANET VAN DYNE 
FURY, COL. NICHOLAS ;WASP;;JANET VAN DYNE 
THING;WASP;BENJAMIN J. GR;JANET VAN DYNE 
VISION ;WASP;;JANET VAN DYNE 
BLACK PANTHER;WASP;T'CHAL;JANET VAN DYNE 
ICEMAN;WASP;ROBERT BOBBY ;JANET VAN DYNE 
SUB-MARINER;WASP;NAMOR MA;JANET VAN DYNE 
IRON MAN;WASP;TONY STARK ;JANET VAN DYNE 
IRON MAN;MARVEL GIRL;TONY STARK ;JEAN GRE
IRON MAN;SPIDER-MAN;TONY STARK ;PETER PAR
CYCLOPS;IRON MAN;SCOTT SUMMER;TONY STARK 
ANT-MAN;IRON MAN;DR. HENRY J.;TONY STARK 
BEAST;IRON MAN;HENRY &HANK& P;TONY STARK 
FURY, COL. NICHOLAS ;IRON MAN;;TONY STARK 
IRON MAN;THING;TONY STARK ;BENJAMIN J. GR
IRON MAN;VISION ;TONY STARK ;
BLACK PANTHER;IRON MAN;T'CHAL;TONY STARK 
ICEMAN;IRON MAN;ROBERT BOBBY ;TONY STARK 
IRON MAN;SUB-MARINER;TONY STARK ;NAMOR MA
MARVEL GIRL;SUB-MARINER;JEAN GRE;NAMOR MA
SPIDER-MAN;SUB-MARINER;PETER PAR;NAMOR MA
CYCLOPS;SUB-MARINER;SCOTT SUMMER;NAMOR MA
ANT-MAN;SUB-MARINER;DR. HENRY J.;NAMOR MA
BEAST;SUB-MARINER;HENRY &HANK& P;NAMOR MA
FURY, COL. NICHOLAS ;SUB-MARINER;;NAMOR MA
SUB-MARINER;THING;NAMOR MA;BENJAMIN J. GR
SUB-MARINER;VISION ;NAMOR MA;
BLACK PANTHER;SUB-MARINER;T'CHAL;NAMOR MA
ICEMAN;SUB-MARINER;ROBERT BOBBY ;NAMOR MA
ICEMAN;MARVEL GIRL;ROBERT BOBBY ;JEAN GRE
ICEMAN;SPIDER-MAN;ROBERT BOBBY ;PETER PAR
CYCLOPS;ICEMAN;SCOTT SUMMER;ROBERT BOBBY 
ANT-MAN;ICEMAN;DR. HENRY J.;ROBERT BOBBY 
BEAST;ICEMAN;HENRY &HANK& P;ROBERT BOBBY 
FURY, COL. NICHOLAS ;ICEMAN;;ROBERT BOBBY 
ICEMAN;THING;ROBERT BOBBY ;BENJAMIN J. GR
ICEMAN;VISION ;ROBERT BOBBY ;
BLACK PANTHER;ICEMAN;T'CHAL;ROBERT BOBBY 
BLACK PANTHER;MARVEL GIRL;T'CHAL;JEAN GRE
BLACK PANTHER;SPIDER-MAN;T'CHAL;PETER PAR
BLACK PANTHER;CYCLOPS;T'CHAL;SCOTT SUMMER
ANT-MAN;BLACK PANTHER;DR. HENRY J.;T'CHAL
BEAST;BLACK PANTHER;HENRY &HANK& P;T'CHAL
BLACK PANTHER;FURY, COL. NICHOLAS ;T'CHAL;
BLACK PANTHER;THING;T'CHAL;BENJAMIN J. GR
BLACK PANTHER;VISION ;T'CHAL;
MARVEL GIRL;VISION ;JEAN GRE;
SPIDER-MAN;VISION ;PETER PAR;
CYCLOPS;VISION ;SCOTT SUMMER;
ANT-MAN;VISION ;DR. HENRY J.;
BEAST;VISION ;HENRY &HANK& P;
FURY, COL. NICHOLAS ;VISION ;;
THING;VISION ;BENJAMIN J. GR;
MARVEL GIRL;THING;JEAN GRE;BENJAMIN J. GR
SPIDER-MAN;THING;PETER PAR;BENJAMIN J. GR
CYCLOPS;THING;SCOTT SUMMER;BENJAMIN J. GR
ANT-MAN;THING;DR. HENRY J.;BENJAMIN J. GR
BEAST;THING;HENRY &HANK& P;BENJAMIN J. GR
FURY, COL. NICHOLAS ;THING;;BENJAMIN J. GR
FURY, COL. NICHOLAS ;MARVEL GIRL;;JEAN GRE
FURY, COL. NICHOLAS ;SPIDER-MAN;;PETER PAR
CYCLOPS;FURY, COL. NICHOLAS ;SCOTT SUMMER;
ANT-MAN;FURY, COL. NICHOLAS ;DR. HENRY J.;
BEAST;FURY, COL. NICHOLAS ;HENRY &HANK& P;
BEAST;MARVEL GIRL;HENRY &HANK& P;JEAN GRE
BEAST;SPIDER-MAN;HENRY &HANK& P;PETER PAR
BEAST;CYCLOPS;HENRY &HANK& P;SCOTT SUMMER
ANT-MAN;BEAST;DR. HENRY J.;HENRY &HANK& P
ANT-MAN;MARVEL GIRL;DR. HENRY J.;JEAN GRE
ANT-MAN;SPIDER-MAN;DR. HENRY J.;PETER PAR
ANT-MAN;CYCLOPS;DR. HENRY J.;SCOTT SUMMER
CYCLOPS;MARVEL GIRL;SCOTT SUMMER;JEAN GRE
CYCLOPS;SPIDER-MAN;SCOTT SUMMER;PETER PAR
MARVEL GIRL;SPIDER-MAN;JEAN GRE;PETER PAR
ANT-MAN;WASP;DR. HENRY J.;JANET VAN DYNE 
DR. STRANGE;HULK;STEPHEN ;DR. ROBERT BRUC
HULK;MR. FANTASTIC;DR. ROBERT BRUC;REED R
HULK;INVISIBLE WOMAN;DR. ROBERT BRUC;SUE 
ANT-MAN;HULK;DR. HENRY J.;DR. ROBERT BRUC
ANT-MAN;DR. STRANGE;DR. HENRY J.;STEPHEN 
ANT-MAN;MR. FANTASTIC;DR. HENRY J.;REED R
ANT-MAN;INVISIBLE WOMAN;DR. HENRY J.;SUE 
DR. STRANGE;INVISIBLE WOMAN;STEPHEN ;SUE 
INVISIBLE WOMAN;MR. FANTASTIC;SUE ;REED R
DR. STRANGE;MR. FANTASTIC;STEPHEN ;REED R
CAPTAIN AMERICA;QUICKSILVER;;PIETRO M
ANT-MAN;WASP;DR. HENRY J.;JANET VAN DYNE 
ROBERTSON, JOE;SPIDER-MAN;;PETER PAR
ROBERTSON, JOE;SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;ROBERTSON, JOE;;
JAMESON, J. JONAH;SPIDER-MAN;;PETER PAR
ROBERTSON, JOE;SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;ROBERTSON, JOE;;
JAMESON, J. JONAH;SPIDER-MAN;;PETER PAR
ROBERTSON, JOE;SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;ROBERTSON, JOE;;
ROBERTSON, JOE;SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;ROBERTSON, JOE;;
HAWK;HERCULES [GREEK GOD];;
HAWK;SPIDER-MAN;;PETER PAR
HAWK;WATSON-PARKER, MARY ;;
ANT-MAN;HAWK;DR. HENRY J.;
HAWK;WASP;;JANET VAN DYNE 
HERCULES [GREEK GOD];WASP;;JANET VAN DYNE 
SPIDER-MAN;WASP;PETER PAR;JANET VAN DYNE 
WASP;WATSON-PARKER, MARY ;JANET VAN DYNE ;
ANT-MAN;WASP;DR. HENRY J.;JANET VAN DYNE 
ANT-MAN;HERCULES [GREEK GOD];DR. HENRY J.;
ANT-MAN;SPIDER-MAN;DR. HENRY J.;PETER PAR
ANT-MAN;WATSON-PARKER, MARY ;DR. HENRY J.;
HERCULES [GREEK GOD];WATSON-PARKER, MARY ;;
SPIDER-MAN;WATSON-PARKER, MARY ;PETER PAR;
HERCULES [GREEK GOD];SPIDER-MAN;;PETER PAR
JAMESON, J. JONAH;ROBERTSON, JOE;;
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;SHADOWCAT;PETER RA;KATHERINE 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;NIGHTCRAWLER;PETER RA;KURT WA
NIGHTCRAWLER;ROGUE ;KURT WA;
NIGHTCRAWLER;SHADOWCAT;KURT WA;KATHERINE 
NIGHTCRAWLER;WOLVERINE;KURT WA;LOGAN 
NIGHTCRAWLER;STORM;KURT WA;ORORO MUNROE S
ROGUE ;STORM;;ORORO MUNROE S
SHADOWCAT;STORM;KATHERINE ;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
SHADOWCAT;WOLVERINE;KATHERINE ;LOGAN 
ROGUE ;SHADOWCAT;;KATHERINE 
ANGEL;FURY, COL. NICHOLAS ;WARREN KENNETH;
ANGEL;NIGHTCRAWLER;WARREN KENNETH;KURT WA
ANGEL;COLOSSUS II;WARREN KENNETH;PETER RA
ANGEL;PROFESSOR X;WARREN KENNETH;CHARLES 
ANGEL;WOLVERINE;WARREN KENNETH;LOGAN 
ANGEL;SHADOWCAT;WARREN KENNETH;KATHERINE 
ANGEL;STORM;WARREN KENNETH;ORORO MUNROE S
FURY, COL. NICHOLAS ;STORM;;ORORO MUNROE S
NIGHTCRAWLER;STORM;KURT WA;ORORO MUNROE S
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
PROFESSOR X;STORM;CHARLES ;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
SHADOWCAT;STORM;KATHERINE ;ORORO MUNROE S
FURY, COL. NICHOLAS ;SHADOWCAT;;KATHERINE 
NIGHTCRAWLER;SHADOWCAT;KURT WA;KATHERINE 
COLOSSUS II;SHADOWCAT;PETER RA;KATHERINE 
PROFESSOR X;SHADOWCAT;CHARLES ;KATHERINE 
SHADOWCAT;WOLVERINE;KATHERINE ;LOGAN 
FURY, COL. NICHOLAS ;WOLVERINE;;LOGAN 
NIGHTCRAWLER;WOLVERINE;KURT WA;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
PROFESSOR X;WOLVERINE;CHARLES ;LOGAN 
FURY, COL. NICHOLAS ;PROFESSOR X;;CHARLES 
NIGHTCRAWLER;PROFESSOR X;KURT WA;CHARLES 
COLOSSUS II;PROFESSOR X;PETER RA;CHARLES 
COLOSSUS II;FURY, COL. NICHOLAS ;PETER RA;
COLOSSUS II;NIGHTCRAWLER;PETER RA;KURT WA
FURY, COL. NICHOLAS ;NIGHTCRAWLER;;KURT WA
PROFESSOR X;WOLVERINE;CHARLES ;LOGAN 
SHADOWCAT;WOLVERINE;KATHERINE ;LOGAN 
NIGHTCRAWLER;WOLVERINE;KURT WA;LOGAN 
NIGHTCRAWLER;PROFESSOR X;KURT WA;CHARLES 
NIGHTCRAWLER;SHADOWCAT;KURT WA;KATHERINE 
PROFESSOR X;SHADOWCAT;CHARLES ;KATHERINE 
COLOSSUS II;SHADOWCAT;PETER RA;KATHERINE 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
COLOSSUS II;NIGHTCRAWLER;PETER RA;KURT WA
COLOSSUS II;ROGUE ;PETER RA;
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;PROFESSOR X;PETER RA;CHARLES 
PROFESSOR X;SHADOWCAT;CHARLES ;KATHERINE 
PROFESSOR X;WOLVERINE;CHARLES ;LOGAN 
NIGHTCRAWLER;PROFESSOR X;KURT WA;CHARLES 
PROFESSOR X;ROGUE ;CHARLES ;
PROFESSOR X;STORM;CHARLES ;ORORO MUNROE S
SHADOWCAT;STORM;KATHERINE ;ORORO MUNROE S
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
NIGHTCRAWLER;STORM;KURT WA;ORORO MUNROE S
ROGUE ;STORM;;ORORO MUNROE S
ROGUE ;SHADOWCAT;;KATHERINE 
ROGUE ;WOLVERINE;;LOGAN 
NIGHTCRAWLER;ROGUE ;KURT WA;
NIGHTCRAWLER;SHADOWCAT;KURT WA;KATHERINE 
NIGHTCRAWLER;WOLVERINE;KURT WA;LOGAN 
SHADOWCAT;WOLVERINE;KATHERINE ;LOGAN 
NIGHTCRAWLER;ROGUE ;KURT WA;
ROGUE ;STORM;;ORORO MUNROE S
PROFESSOR X;ROGUE ;CHARLES ;
COLOSSUS II;ROGUE ;PETER RA;
ROGUE ;SHADOWCAT;;KATHERINE 
ROGUE ;WOLVERINE;;LOGAN 
NIGHTCRAWLER;WOLVERINE;KURT WA;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
PROFESSOR X;WOLVERINE;CHARLES ;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
SHADOWCAT;WOLVERINE;KATHERINE ;LOGAN 
NIGHTCRAWLER;SHADOWCAT;KURT WA;KATHERINE 
SHADOWCAT;STORM;KATHERINE ;ORORO MUNROE S
PROFESSOR X;SHADOWCAT;CHARLES ;KATHERINE 
COLOSSUS II;SHADOWCAT;PETER RA;KATHERINE 
COLOSSUS II;NIGHTCRAWLER;PETER RA;KURT WA
COLOSSUS II;STORM;PETER RA;ORORO MUNROE S
COLOSSUS II;PROFESSOR X;PETER RA;CHARLES 
NIGHTCRAWLER;PROFESSOR X;KURT WA;CHARLES 
PROFESSOR X;STORM;CHARLES ;ORORO MUNROE S
NIGHTCRAWLER;STORM;KURT WA;ORORO MUNROE S
PROFESSOR X;SHADOWCAT;CHARLES ;KATHERINE 
NIGHTCRAWLER;SHADOWCAT;KURT WA;KATHERINE 
MARVEL GIRL;SHADOWCAT;JEAN GRE;KATHERINE 
CYCLOPS;SHADOWCAT;SCOTT SUMMER;KATHERINE 
PSYLOCKE;SHADOWCAT;ELISABETH B;KATHERINE 
SHADOWCAT;STORM;KATHERINE ;ORORO MUNROE S
COLOSSUS II;SHADOWCAT;PETER RA;KATHERINE 
BEAST;SHADOWCAT;HENRY &HANK& P;KATHERINE 
ANGEL;SHADOWCAT;WARREN KENNETH;KATHERINE 
ROGUE ;SHADOWCAT;;KATHERINE 
ICEMAN;SHADOWCAT;ROBERT BOBBY ;KATHERINE 
SHADOWCAT;WOLVERINE;KATHERINE ;LOGAN 
PROFESSOR X;WOLVERINE;CHARLES ;LOGAN 
NIGHTCRAWLER;WOLVERINE;KURT WA;LOGAN 
MARVEL GIRL;WOLVERINE;JEAN GRE;LOGAN 
CYCLOPS;WOLVERINE;SCOTT SUMMER;LOGAN 
PSYLOCKE;WOLVERINE;ELISABETH B;LOGAN 
STORM;WOLVERINE;ORORO MUNROE S;LOGAN 
COLOSSUS II;WOLVERINE;PETER RA;LOGAN 
BEAST;WOLVERINE;HENRY &HANK& P;LOGAN 
ANGEL;WOLVERINE;WARREN KENNETH;LOGAN 
ROGUE ;WOLVERINE;;LOGAN 
ICEMAN;WOLVERINE;ROBERT BOBBY ;LOGAN 
ICEMAN;PROFESSOR X;ROBERT BOBBY ;CHARLES 
ICEMAN;NIGHTCRAWLER;ROBERT BOBBY ;KURT WA
ICEMAN;MARVEL GIRL;ROBERT BOBBY ;JEAN GRE
CYCLOPS;ICEMAN;SCOTT SUMMER;ROBERT BOBBY 
ICEMAN;PSYLOCKE;ROBERT BOBBY ;ELISABETH B
ICEMAN;STORM;ROBERT BOBBY ;ORORO MUNROE S
COLOSSUS II;ICEMAN;PETER RA;ROBERT BOBBY 
BEAST;ICEMAN;HENRY &HANK& P;ROBERT BOBBY 
ANGEL;ICEMAN;WARREN KENNETH;ROBERT BOBBY 
ICEMAN;ROGUE ;ROBERT BOBBY ;
PROFESSOR X;ROGUE ;CHARLES ;
NIGHTCRAWLER;ROGUE ;KURT WA;
MARVEL GIRL;ROGUE ;JEAN GRE;
CYCLOPS;ROGUE ;SCOTT SUMMER;
PSYLOCKE;ROGUE ;ELISABETH B;
ROGUE ;STORM;;ORORO MUNROE S
COLOSSUS II;ROGUE ;PETER RA;
BEAST;ROGUE ;HENRY &HANK& P;
ANGEL;ROGUE ;WARREN KENNETH;
ANGEL;PROFESSOR X;WARREN KENNETH;CHARLES 
ANGEL;NIGHTCRAWLER;WARREN KENNETH;KURT WA
ANGEL;MARVEL GIRL;WARREN KENNETH;JEAN GRE
ANGEL;CYCLOPS;WARREN KENNETH;SCOTT SUMMER
ANGEL;PSYLOCKE;WARREN KENNETH;ELISABETH B
ANGEL;STORM;WARREN KENNETH;ORORO MUNROE S
ANGEL;COLOSSUS II;WARREN KENNETH;PETER RA
ANGEL;BEAST;WARREN KENNETH;HENRY &HANK& P
BEAST;PROFESSOR X;HENRY &HANK& P;CHARLES 
BEAST;NIGHTCRAWLER;HENRY &HANK& P;KURT WA
BEAST;MARVEL GIRL;HENRY &HANK& P;JEAN GRE
BEAST;CYCLOPS;HENRY &HANK& P;SCOTT SUMMER
BEAST;PSYLOCKE;HENRY &HANK& P;ELISABETH B
BEAST;STORM;HENRY &HANK& P;ORORO MUNROE S
BEAST;COLOSSUS II;HENRY &HANK& P;PETER RA
COLOSSUS II;PROFESSOR X;PETER RA;CHARLES 
COLOSSUS II;NIGHTCRAWLER;PETER RA;KURT WA
